id,device,timestamp,deviceId,rssi,rssiOld,beaconId,beaconName
560312556,142_(W10T_A7H_3),2022-04-26T13:16:56.124+00:00,509554898,-71,199,509559720,W10T_A7H_B-1-19 TrÃ¤nke
560312555,142_(W10T_A7H_3),2022-04-26T13:16:56.124+00:00,509554898,-74,202,509542097,W10T_A7H_B-1-2
560312627,142_(W10T_A7H_3),2022-04-26T13:17:03.229+00:00,509554898,-71,199,509542378,W10T_A7H_B-1-7
560312623,142_(W10T_A7H_3),2022-04-26T13:17:03.229+00:00,509554898,-79,207,509542097,W10T_A7H_B-1-2
560312667,142_(W10T_A7H_3),2022-04-26T13:17:10.334+00:00,509554898,-72,200,509558243,W10T_A7H_B-1-8 AMS
560312666,142_(W10T_A7H_3),2022-04-26T13:17:10.334+00:00,509554898,-73,201,509542378,W10T_A7H_B-1-7
560312665,142_(W10T_A7H_3),2022-04-26T13:17:10.334+00:00,509554898,-78,206,509542097,W10T_A7H_B-1-2
560312725,142_(W10T_A7H_3),2022-04-26T13:17:17.438+00:00,509554898,-71,199,509559720,W10T_A7H_B-1-19 TrÃ¤nke
560312724,142_(W10T_A7H_3),2022-04-26T13:17:17.438+00:00,509554898,-80,208,509542097,W10T_A7H_B-1-2
560313201,142_(W10T_A7H_3),2022-04-26T13:18:35.604+00:00,509554898,-75,203,509542097,W10T_A7H_B-1-2
560313200,142_(W10T_A7H_3),2022-04-26T13:18:35.604+00:00,509554898,-73,201,509558438,W10T_A7H_B-1-10
560313195,142_(W10T_A7H_3),2022-04-26T13:18:35.604+00:00,509554898,-73,201,509542378,W10T_A7H_B-1-7
560313277,142_(W10T_A7H_3),2022-04-26T13:18:47.729+00:00,509554898,-73,201,509542097,W10T_A7H_B-1-2
560313288,142_(W10T_A7H_3),2022-04-26T13:18:49.813+00:00,509554898,-75,203,509542378,W10T_A7H_B-1-7
560313287,142_(W10T_A7H_3),2022-04-26T13:18:49.813+00:00,509554898,-67,195,509542264,W10T_A7H_B-1-5
560313431,142_(W10T_A7H_3),2022-04-26T13:19:09.295+00:00,509554898,-74,202,509542378,W10T_A7H_B-1-7
560313430,142_(W10T_A7H_3),2022-04-26T13:19:09.295+00:00,509554898,-76,204,509559720,W10T_A7H_B-1-19 TrÃ¤nke
